effective_start,effective_end,announced_at,ticker,source
2000-01-01,2004-04-07,,HON,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,HPQ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,IBM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,INTC,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,IP,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,JNJ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,JPM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,KO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,MCD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,MMM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,MO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,MRK,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,MSFT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,PG,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,SBC,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,T,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,UTX,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,WMT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,XOM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,AA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,AIG,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,AXP,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,BA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,C,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,CAT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,DD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,DIS,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,GE,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,GM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,HD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,HON,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,HPQ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,IBM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,INTC,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,JNJ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,JPM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,KO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,MCD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,MMM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,MO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,MRK,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,MSFT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,PFE,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,PG,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,SBC,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,UTX,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,VZ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,WMT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2004-04-08,2005-11-17,,XOM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,AA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,AIG,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,AXP,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,BA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,C,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,CAT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,DD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,DIS,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,GE,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,GM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,HD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,HON,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,HPQ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,IBM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,INTC,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,JNJ,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,JPM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,KO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,MCD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,MMM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,MO,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,MRK,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,MSFT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2005-11-18,2008-02-18,,PFE,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
